"","category","term","ontology"
"GO:1904925","GO:1904925","positive regulation of autophagy of mitochondrion in response to mitochondrial depolarization","BP"
"GO:0004146","GO:0004146","dihydrofolate reductase activity","MF"
"GO:0046452","GO:0046452","dihydrofolate metabolic process","BP"
"GO:2000305","GO:2000305","semaphorin-plexin signaling pathway involved in regulation of photoreceptor cell axon guidance","BP"
"GO:0005003","GO:0005003","ephrin receptor activity","MF"
"GO:0005005","GO:0005005","transmembrane-ephrin receptor activity","MF"
"GO:0030891","GO:0030891","VCB complex","CC"
"GO:0004142","GO:0004142","diacylglycerol cholinephosphotransferase activity","MF"
"GO:0004084","GO:0004084","branched-chain-amino-acid transaminase activity","MF"
"GO:0006550","GO:0006550","isoleucine catabolic process","BP"
"GO:0009098","GO:0009098","leucine biosynthetic process","BP"
"GO:0009099","GO:0009099","valine biosynthetic process","BP"
"GO:0052654","GO:0052654","L-leucine transaminase activity","MF"
"GO:0052655","GO:0052655","L-valine transaminase activity","MF"
"GO:0052656","GO:0052656","L-isoleucine transaminase activity","MF"
"GO:0051428","GO:0051428","peptide hormone receptor binding","MF"
"GO:0097005","GO:0097005","adipokinetic hormone receptor binding","MF"
"GO:0042304","GO:0042304","regulation of fatty acid biosynthetic process","BP"
"GO:0045717","GO:0045717","negative regulation of fatty acid biosynthetic process","BP"
"GO:0045922","GO:0045922","negative regulation of fatty acid metabolic process","BP"
"GO:0062014","GO:0062014","negative regulation of small molecule metabolic process","BP"
"GO:0043654","GO:0043654","recognition of apoptotic cell","BP"
"GO:0006549","GO:0006549","isoleucine metabolic process","BP"
"GO:0009082","GO:0009082","branched-chain amino acid biosynthetic process","BP"
"GO:1904675","GO:1904675","regulation of somatic stem cell division","BP"
"GO:1904677","GO:1904677","positive regulation of somatic stem cell division","BP"
"GO:0046929","GO:0046929","negative regulation of neurotransmitter secretion","BP"
"GO:0051589","GO:0051589","negative regulation of neurotransmitter transport","BP"
"GO:0046676","GO:0046676","negative regulation of insulin secretion","BP"
"GO:1902884","GO:1902884","positive regulation of response to oxidative stress","BP"
"GO:1904647","GO:1904647","response to rotenone","BP"
"GO:0051639","GO:0051639","actin filament network formation","BP"
"GO:0036258","GO:0036258","multivesicular body assembly","BP"
"GO:0004649","GO:0004649","poly(ADP-ribose) glycohydrolase activity","MF"
"GO:1990966","GO:1990966","ATP generation from poly-ADP-D-ribose","BP"
"GO:0070462","GO:0070462","plus-end specific microtubule depolymerization","BP"
"GO:0004605","GO:0004605","phosphatidate cytidylyltransferase activity","MF"
"GO:0016024","GO:0016024","CDP-diacylglycerol biosynthetic process","BP"
"GO:0046341","GO:0046341","CDP-diacylglycerol metabolic process","BP"
"GO:0007421","GO:0007421","stomatogastric nervous system development","BP"
"GO:0004632","GO:0004632","phosphopantothenate--cysteine ligase activity","MF"
"GO:0055091","GO:0055091","phospholipid homeostasis","BP"
"GO:0035226","GO:0035226","glutamate-cysteine ligase catalytic subunit binding","MF"
"GO:0035227","GO:0035227","regulation of glutamate-cysteine ligase activity","BP"
"GO:0035229","GO:0035229","positive regulation of glutamate-cysteine ligase activity","BP"
"GO:0071722","GO:0071722","detoxification of arsenic-containing substance","BP"
"GO:0099577","GO:0099577","regulation of translation at presynapse, modulating synaptic transmission","BP"
"GO:0140244","GO:0140244","regulation of translation at presynapse","BP"
"GO:0008545","GO:0008545","JUN kinase kinase activity","MF"
"GO:0005673","GO:0005673","transcription factor TFIIE complex","CC"
"GO:0010780","GO:0010780","meiotic DNA double-strand break formation involved in reciprocal meiotic recombination","BP"
"GO:0070762","GO:0070762","nuclear pore transmembrane ring","CC"
"GO:0097541","GO:0097541","axonemal basal plate","CC"
"GO:0030473","GO:0030473","nuclear migration along microtubule","BP"
"GO:0001680","GO:0001680","tRNA 3'-terminal CCA addition","BP"
"GO:0004810","GO:0004810","CCA tRNA nucleotidyltransferase activity","MF"
"GO:0008537","GO:0008537","proteasome activator complex","CC"
"GO:0000455","GO:0000455","enzyme-directed rRNA pseudouridine synthesis","BP"
"GO:0008603","GO:0008603","cAMP-dependent protein kinase regulator activity","MF"
"GO:1901694","GO:1901694","positive regulation of compound eye retinal cell apoptotic process","BP"
"GO:0045234","GO:0045234","protein palmitoleylation","BP"
"GO:1990698","GO:1990698","palmitoleoyltransferase activity","MF"
"GO:0015889","GO:0015889","cobalamin transport","BP"
"GO:0031419","GO:0031419","cobalamin binding","MF"
"GO:0051880","GO:0051880","G-quadruplex DNA binding","MF"
"GO:2000497","GO:2000497","positive regulation of cell proliferation involved in compound eye morphogenesis","BP"
"GO:1901201","GO:1901201","regulation of extracellular matrix assembly","BP"
"GO:0042953","GO:0042953","lipoprotein transport","BP"
"GO:0044872","GO:0044872","lipoprotein localization","BP"
"GO:0010460","GO:0010460","positive regulation of heart rate","BP"
"GO:1900006","GO:1900006","positive regulation of dendrite development","BP"
"GO:0009450","GO:0009450","gamma-aminobutyric acid catabolic process","BP"
"GO:0032536","GO:0032536","regulation of cell projection size","BP"
"GO:1901834","GO:1901834","regulation of deadenylation-independent decapping of nuclear-transcribed mRNA","BP"
"GO:1901835","GO:1901835","positive regulation of deadenylation-independent decapping of nuclear-transcribed mRNA","BP"
"GO:0031571","GO:0031571","mitotic G1 DNA damage checkpoint signaling","BP"
"GO:0070594","GO:0070594","juvenile hormone response element binding","MF"
"GO:0046790","GO:0046790","virion binding","MF"
"GO:0004077","GO:0004077","biotin-[acetyl-CoA-carboxylase] ligase activity","MF"
"GO:0018271","GO:0018271","biotin-protein ligase activity","MF"
"GO:0007490","GO:0007490","tergite morphogenesis","BP"
"GO:0050459","GO:0050459","ethanolamine-phosphate phospho-lyase activity","MF"
"GO:0004069","GO:0004069","L-aspartate:2-oxoglutarate aminotransferase activity","MF"
"GO:0006531","GO:0006531","aspartate metabolic process","BP"
"GO:0031379","GO:0031379","RNA-directed RNA polymerase complex","CC"
"GO:0031380","GO:0031380","nuclear RNA-directed RNA polymerase complex","CC"
"GO:1901255","GO:1901255","nucleotide-excision repair involved in interstrand cross-link repair","BP"
"GO:0016714","GO:0016714","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen","MF"
"GO:0010606","GO:0010606","positive regulation of cytoplasmic mRNA processing body assembly","BP"
"GO:0098961","GO:0098961","dendritic transport of ribonucleoprotein complex","BP"
"GO:0098963","GO:0098963","dendritic transport of messenger ribonucleoprotein complex","BP"
"GO:0098964","GO:0098964","anterograde dendritic transport of messenger ribonucleoprotein complex","BP"
"GO:0004140","GO:0004140","dephospho-CoA kinase activity","MF"
"GO:0009992","GO:0009992","intracellular water homeostasis","BP"
"GO:0006279","GO:0006279","premeiotic DNA replication","BP"
"GO:0140945","GO:0140945","histone H3K4 monomethyltransferase activity","MF"
"GO:0070064","GO:0070064","proline-rich region binding","MF"
"GO:0004361","GO:0004361","glutaryl-CoA dehydrogenase activity","MF"
"GO:0033634","GO:0033634","positive regulation of cell-cell adhesion mediated by integrin","BP"
"GO:0106006","GO:0106006","cytoskeletal protein-membrane anchor activity","MF"
"GO:0070651","GO:0070651","nonfunctional rRNA decay","BP"
"GO:0070966","GO:0070966","nuclear-transcribed mRNA catabolic process, no-go decay","BP"
"GO:1990533","GO:1990533","Dom34-Hbs1 complex","CC"
"GO:0030292","GO:0030292","protein tyrosine kinase inhibitor activity","MF"
"GO:0035562","GO:0035562","negative regulation of chromatin binding","BP"
"GO:0004555","GO:0004555","alpha,alpha-trehalase activity","MF"
"GO:0005993","GO:0005993","trehalose catabolic process","BP"
"GO:0015927","GO:0015927","trehalase activity","MF"
"GO:0046352","GO:0046352","disaccharide catabolic process","BP"
"GO:0106070","GO:0106070","regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway","BP"
"GO:0106072","GO:0106072","negative regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway","BP"
"GO:0016061","GO:0016061","regulation of light-activated channel activity","BP"
"GO:0032028","GO:0032028","myosin head/neck binding","MF"
"GO:0070855","GO:0070855","myosin VI head/neck binding","MF"
"GO:0070849","GO:0070849","response to epidermal growth factor","BP"
"GO:0071364","GO:0071364","cellular response to epidermal growth factor stimulus","BP"
"GO:0050746","GO:0050746","regulation of lipoprotein metabolic process","BP"
"GO:0050747","GO:0050747","positive regulation of lipoprotein metabolic process","BP"
"GO:1903059","GO:1903059","regulation of protein lipidation","BP"
"GO:1903061","GO:1903061","positive regulation of protein lipidation","BP"
"GO:0010461","GO:0010461","light-activated monoatomic ion channel activity","MF"
"GO:0071454","GO:0071454","cellular response to anoxia","BP"
"GO:0033058","GO:0033058","directional locomotion","BP"
"GO:0043056","GO:0043056","forward locomotion","BP"
"GO:0043059","GO:0043059","regulation of forward locomotion","BP"
"GO:0070410","GO:0070410","co-SMAD binding","MF"
"GO:0036019","GO:0036019","endolysosome","CC"
"GO:0007594","GO:0007594","puparial adhesion","BP"
"GO:0022608","GO:0022608","multicellular organism adhesion","BP"
"GO:0022609","GO:0022609","multicellular organism adhesion to substrate","BP"
"GO:0062130","GO:0062130","adhesive extracellular matrix","CC"
"GO:0033897","GO:0033897","ribonuclease T2 activity","MF"
"GO:0004445","GO:0004445","inositol-polyphosphate 5-phosphatase activity","MF"
"GO:0046030","GO:0046030","inositol trisphosphate phosphatase activity","MF"
"GO:0035482","GO:0035482","gastric motility","BP"
"GO:0035483","GO:0035483","gastric emptying","BP"
"GO:0048755","GO:0048755","branching morphogenesis of a nerve","BP"
"GO:0060688","GO:0060688","regulation of morphogenesis of a branching structure","BP"
"GO:1904060","GO:1904060","negative regulation of locomotor rhythm","BP"
"GO:2000172","GO:2000172","regulation of branching morphogenesis of a nerve","BP"
"GO:0000722","GO:0000722","telomere maintenance via recombination","BP"
"GO:0016039","GO:0016039","absorption of UV light","BP"
"GO:0042720","GO:0042720","mitochondrial inner membrane peptidase complex","CC"
"GO:0035053","GO:0035053","dorsal vessel heart proper cell fate commitment","BP"
"GO:0090137","GO:0090137","epithelial cell-cell adhesion involved in epithelium migration","BP"
"GO:1903077","GO:1903077","negative regulation of protein localization to plasma membrane","BP"
"GO:1903387","GO:1903387","positive regulation of homophilic cell adhesion","BP"
"GO:1903681","GO:1903681","regulation of epithelial cell-cell adhesion involved in epithelium migration","BP"
"GO:1903683","GO:1903683","positive regulation of epithelial cell-cell adhesion involved in epithelium migration","BP"
"GO:1904376","GO:1904376","negative regulation of protein localization to cell periphery","BP"
"GO:1905476","GO:1905476","negative regulation of protein localization to membrane","BP"
"GO:0008098","GO:0008098","5S rRNA primary transcript binding","MF"
"GO:0004394","GO:0004394","heparan sulfate 2-O-sulfotransferase activity","MF"
"GO:0001517","GO:0001517","N-acetylglucosamine 6-O-sulfotransferase activity","MF"
"GO:0032092","GO:0032092","positive regulation of protein binding","BP"
"GO:0062028","GO:0062028","regulation of stress granule assembly","BP"
"GO:0062029","GO:0062029","positive regulation of stress granule assembly","BP"
"GO:0097167","GO:0097167","circadian regulation of translation","BP"
"GO:0140262","GO:0140262","mRNA cap binding complex binding","MF"
"GO:0070691","GO:0070691","P-TEFb complex","CC"
"GO:0035175","GO:0035175","histone H3S10 kinase activity","MF"
"GO:0008255","GO:0008255","ecdysis-triggering hormone activity","MF"
"GO:0001953","GO:0001953","negative regulation of cell-matrix adhesion","BP"
"GO:0007044","GO:0007044","cell-substrate junction assembly","BP"
"GO:0010812","GO:0010812","negative regulation of cell-substrate adhesion","BP"
"GO:0016314","GO:0016314","phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase activity","MF"
"GO:0034594","GO:0034594","phosphatidylinositol trisphosphate phosphatase activity","MF"
"GO:0048041","GO:0048041","focal adhesion assembly","BP"
"GO:0051717","GO:0051717","inositol-1,3,4,5-tetrakisphosphate 3-phosphatase activity","MF"
"GO:0051800","GO:0051800","phosphatidylinositol-3,4-bisphosphate 3-phosphatase activity","MF"
"GO:0051893","GO:0051893","regulation of focal adhesion assembly","BP"
"GO:0051895","GO:0051895","negative regulation of focal adhesion assembly","BP"
"GO:0052743","GO:0052743","inositol tetrakisphosphate phosphatase activity","MF"
"GO:0090109","GO:0090109","regulation of cell-substrate junction assembly","BP"
"GO:0150115","GO:0150115","cell-substrate junction organization","BP"
"GO:0150116","GO:0150116","regulation of cell-substrate junction organization","BP"
"GO:0150118","GO:0150118","negative regulation of cell-substrate junction organization","BP"
"GO:0010955","GO:0010955","negative regulation of protein processing","BP"
"GO:0004861","GO:0004861","cyclin-dependent protein serine/threonine kinase inhibitor activity","MF"
"GO:0001669","GO:0001669","acrosomal vesicle","CC"
"GO:0034473","GO:0034473","U1 snRNA 3'-end processing","BP"
"GO:0034476","GO:0034476","U5 snRNA 3'-end processing","BP"
"GO:0071042","GO:0071042","nuclear polyadenylation-dependent mRNA catabolic process","BP"
"GO:0071047","GO:0071047","polyadenylation-dependent mRNA catabolic process","BP"
"GO:0007555","GO:0007555","regulation of ecdysteroid secretion","BP"
"GO:0035929","GO:0035929","steroid hormone secretion","BP"
"GO:0045457","GO:0045457","ecdysteroid secretion","BP"
"GO:0140353","GO:0140353","lipid export from cell","BP"
"GO:2000831","GO:2000831","regulation of steroid hormone secretion","BP"
"GO:0030899","GO:0030899","calcium-dependent ATPase activity","MF"
"GO:0045856","GO:0045856","positive regulation of pole plasm oskar mRNA localization","BP"
"GO:0008240","GO:0008240","tripeptidyl-peptidase activity","MF"
"GO:0097177","GO:0097177","mitochondrial ribosome binding","MF"
"GO:0048094","GO:0048094","male pigmentation","BP"
"GO:0090160","GO:0090160","Golgi to lysosome transport","BP"
"GO:0006063","GO:0006063","uronic acid metabolic process","BP"
"GO:0019585","GO:0019585","glucuronate metabolic process","BP"
"GO:0052695","GO:0052695","cellular glucuronidation","BP"
"GO:0001836","GO:0001836","release of cytochrome c from mitochondria","BP"
"GO:0090199","GO:0090199","regulation of release of cytochrome c from mitochondria","BP"
"GO:0003985","GO:0003985","acetyl-CoA C-acetyltransferase activity","MF"
"GO:0003988","GO:0003988","acetyl-CoA C-acyltransferase activity","MF"
"GO:0016453","GO:0016453","C-acetyltransferase activity","MF"
"GO:1903999","GO:1903999","negative regulation of eating behavior","BP"
"GO:0045547","GO:0045547","dehydrodolichyl diphosphate synthase activity","MF"
"GO:1904423","GO:1904423","dehydrodolichyl diphosphate synthase complex","CC"
"GO:0140996","GO:0140996","histone H3 kinase activity","MF"
"GO:0004837","GO:0004837","tyrosine decarboxylase activity","MF"
"GO:0016031","GO:0016031","tRNA import into mitochondrion","BP"
"GO:0035370","GO:0035370","UBC13-UEV1A complex","CC"
"GO:0016361","GO:0016361","activin receptor activity, type I","MF"
"GO:2000302","GO:2000302","positive regulation of synaptic vesicle exocytosis","BP"
"GO:1902337","GO:1902337","regulation of apoptotic process involved in morphogenesis","BP"
"GO:1902339","GO:1902339","positive regulation of apoptotic process involved in morphogenesis","BP"
"GO:0048019","GO:0048019","receptor antagonist activity","MF"
"GO:0004630","GO:0004630","phospholipase D activity","MF"
"GO:0003693","GO:0003693","P-element binding","MF"
"GO:0002032","GO:0002032","desensitization of G protein-coupled receptor signaling pathway by arrestin","BP"
"GO:0002046","GO:0002046","opsin binding","MF"
"GO:0032091","GO:0032091","negative regulation of protein binding","BP"
"GO:0016191","GO:0016191","synaptic vesicle uncoating","BP"
"GO:0072318","GO:0072318","clathrin coat disassembly","BP"
"GO:0072319","GO:0072319","vesicle uncoating","BP"
"GO:0032576","GO:0032576","O-linoleoyltransferase activity","MF"
"GO:0032577","GO:0032577","phosphatidylcholine:cardiolipin O-linoleoyltransferase activity","MF"
"GO:0035965","GO:0035965","cardiolipin acyl-chain remodeling","BP"
"GO:0031473","GO:0031473","myosin III binding","MF"
"GO:0046963","GO:0046963","3'-phosphoadenosine 5'-phosphosulfate transport","BP"
"GO:0046964","GO:0046964","3'-phosphoadenosine 5'-phosphosulfate transmembrane transporter activity","MF"
"GO:0004809","GO:0004809","tRNA (guanine-N2-)-methyltransferase activity","MF"
"GO:0043564","GO:0043564","Ku70:Ku80 complex","CC"
"GO:0034515","GO:0034515","proteasome storage granule","CC"
"GO:0030350","GO:0030350","iron-responsive element binding","MF"
"GO:0046083","GO:0046083","adenine metabolic process","BP"
"GO:0046084","GO:0046084","adenine biosynthetic process","BP"
"GO:0106380","GO:0106380","purine ribonucleotide salvage","BP"
"GO:0008511","GO:0008511","sodium:potassium:chloride symporter activity","MF"
"GO:0009674","GO:0009674","potassium:sodium symporter activity","MF"
"GO:0004757","GO:0004757","sepiapterin reductase activity","MF"
"GO:0014732","GO:0014732","skeletal muscle atrophy","BP"
"GO:0014887","GO:0014887","cardiac muscle adaptation","BP"
"GO:0014888","GO:0014888","striated muscle adaptation","BP"
"GO:0014889","GO:0014889","muscle atrophy","BP"
"GO:0014891","GO:0014891","striated muscle atrophy","BP"
"GO:0014899","GO:0014899","cardiac muscle atrophy","BP"
"GO:0043500","GO:0043500","muscle adaptation","BP"
"GO:0043501","GO:0043501","skeletal muscle adaptation","BP"
"GO:0046570","GO:0046570","methylthioribulose 1-phosphate dehydratase activity","MF"
"GO:0042056","GO:0042056","chemoattractant activity","MF"
"GO:0097539","GO:0097539","ciliary transition fiber","CC"
"GO:0071261","GO:0071261","Ssh1 translocon complex","CC"
"GO:0006392","GO:0006392","transcription elongation by mitochondrial RNA polymerase","BP"
"GO:0035800","GO:0035800","deubiquitinase activator activity","MF"
"GO:0005094","GO:0005094","Rho GDP-dissociation inhibitor activity","MF"
"GO:0042463","GO:0042463","ocellus photoreceptor cell development","BP"
"GO:0042705","GO:0042705","ocellus photoreceptor cell differentiation","BP"
"GO:0016084","GO:0016084","myostimulatory hormone activity","MF"
"GO:0042350","GO:0042350","GDP-L-fucose biosynthetic process","BP"
"GO:0070274","GO:0070274","RES complex","CC"
"GO:0010561","GO:0010561","negative regulation of glycoprotein biosynthetic process","BP"
"GO:0042983","GO:0042983","amyloid precursor protein biosynthetic process","BP"
"GO:0042984","GO:0042984","regulation of amyloid precursor protein biosynthetic process","BP"
"GO:0042985","GO:0042985","negative regulation of amyloid precursor protein biosynthetic process","BP"
"GO:1903019","GO:1903019","negative regulation of glycoprotein metabolic process","BP"
"GO:0060233","GO:0060233","oenocyte delamination","BP"
"GO:0061863","GO:0061863","microtubule plus end polymerase","MF"
"GO:0035368","GO:0035368","selenocysteine insertion sequence binding","MF"
"GO:0007192","GO:0007192","adenylate cyclase-activating serotonin receptor signaling pathway","BP"
"GO:0016546","GO:0016546","male courtship behavior, proboscis-mediated licking","BP"
"GO:0097355","GO:0097355","protein localization to heterochromatin","BP"
"GO:0016586","GO:0016586","RSC-type complex","CC"
"GO:0007382","GO:0007382","specification of segmental identity, maxillary segment","BP"
"GO:0018282","GO:0018282","metal incorporation into metallo-sulfur cluster","BP"
"GO:0018283","GO:0018283","iron incorporation into metallo-sulfur cluster","BP"
"GO:0034986","GO:0034986","iron chaperone activity","MF"
"GO:0006391","GO:0006391","transcription initiation at mitochondrial promoter","BP"
"GO:0034246","GO:0034246","mitochondrial transcription factor activity","MF"
"GO:0007124","GO:0007124","pseudohyphal growth","BP"
"GO:0010570","GO:0010570","regulation of filamentous growth","BP"
"GO:0030447","GO:0030447","filamentous growth","BP"
"GO:0044182","GO:0044182","filamentous growth of a population of unicellular organisms","BP"
"GO:0070783","GO:0070783","growth of unicellular organism as a thread of attached cells","BP"
"GO:0070784","GO:0070784","regulation of growth of unicellular organism as a thread of attached cells","BP"
"GO:0070786","GO:0070786","positive regulation of growth of unicellular organism as a thread of attached cells","BP"
"GO:0090033","GO:0090033","positive regulation of filamentous growth","BP"
"GO:1900428","GO:1900428","regulation of filamentous growth of a population of unicellular organisms","BP"
"GO:1900430","GO:1900430","positive regulation of filamentous growth of a population of unicellular organisms","BP"
"GO:1900461","GO:1900461","positive regulation of pseudohyphal growth by positive regulation of transcription from RNA polymerase II promoter","BP"
"GO:2000220","GO:2000220","regulation of pseudohyphal growth","BP"
"GO:2000222","GO:2000222","positive regulation of pseudohyphal growth","BP"
"GO:0031489","GO:0031489","myosin V binding","MF"
"GO:0019418","GO:0019418","sulfide oxidation","BP"
"GO:0070221","GO:0070221","sulfide oxidation, using sulfide:quinone oxidoreductase","BP"
"GO:0070224","GO:0070224","sulfide:quinone oxidoreductase activity","MF"
"GO:0106436","GO:0106436","glutathione-dependent sulfide quinone oxidoreductase activity","MF"
"GO:0035291","GO:0035291","specification of segmental identity, intercalary segment","BP"
"GO:0005034","GO:0005034","osmosensor activity","MF"
"GO:0047484","GO:0047484","regulation of response to osmotic stress","BP"
"GO:0036408","GO:0036408","histone H3K14 acetyltransferase activity","MF"
"GO:1905503","GO:1905503","regulation of motile cilium assembly","BP"
"GO:0061175","GO:0061175","type II terminal bouton","CC"
"GO:0035294","GO:0035294","determination of wing disc primordium","BP"
"GO:0045663","GO:0045663","positive regulation of myoblast differentiation","BP"
"GO:0045053","GO:0045053","protein retention in Golgi apparatus","BP"
"GO:0140570","GO:0140570","extraction of mislocalized protein from mitochondrial outer membrane","BP"
"GO:2001260","GO:2001260","regulation of semaphorin-plexin signaling pathway","BP"
"GO:0048491","GO:0048491","retrograde synaptic vesicle transport","BP"
"GO:1900744","GO:1900744","regulation of p38MAPK cascade","BP"
"GO:0004152","GO:0004152","dihydroorotate dehydrogenase activity","MF"
"GO:0140569","GO:0140569","extraction of mislocalized protein from ER membrane","BP"
"GO:0051597","GO:0051597","response to methylmercury","BP"
"GO:0030623","GO:0030623","U5 snRNA binding","MF"
"GO:0000403","GO:0000403","Y-form DNA binding","MF"
"GO:0039694","GO:0039694","viral RNA genome replication","BP"
"GO:0044830","GO:0044830","modulation by host of viral RNA genome replication","BP"
"GO:0010106","GO:0010106","cellular response to iron ion starvation","BP"
"GO:2001261","GO:2001261","negative regulation of semaphorin-plexin signaling pathway","BP"
"GO:0004395","GO:0004395","hexaprenyldihydroxybenzoate methyltransferase activity","MF"
"GO:0010420","GO:0010420","3,4-dihydroxy-5-polyprenylbenzoic acid O-methyltransferase activity","MF"
"GO:0030274","GO:0030274","LIM domain binding","MF"
"GO:0070976","GO:0070976","TIR domain binding","MF"
"GO:0050220","GO:0050220","prostaglandin-E synthase activity","MF"
"GO:0006507","GO:0006507","GPI anchor release","BP"
"GO:1990697","GO:1990697","protein depalmitoleylation","BP"
"GO:1990699","GO:1990699","palmitoleyl hydrolase activity","MF"
"GO:0005861","GO:0005861","troponin complex","CC"
"GO:0004309","GO:0004309","exopolyphosphatase activity","MF"
"GO:0043951","GO:0043951","negative regulation of cAMP-mediated signaling","BP"
"GO:0008583","GO:0008583","mystery cell differentiation","BP"
"GO:0035192","GO:0035192","nuclear cortical migration","BP"
"GO:0140450","GO:0140450","protein targeting to Golgi apparatus","BP"
"GO:1905330","GO:1905330","regulation of morphogenesis of an epithelium","BP"
"GO:0008209","GO:0008209","androgen metabolic process","BP"
"GO:0008210","GO:0008210","estrogen metabolic process","BP"
"GO:0018454","GO:0018454","acetoacetyl-CoA reductase activity","MF"
"GO:0047022","GO:0047022","7-beta-hydroxysteroid dehydrogenase (NADP+) activity","MF"
"GO:0060097","GO:0060097","cytoskeletal rearrangement involved in phagocytosis, engulfment","BP"
"GO:0070381","GO:0070381","endosome to plasma membrane transport vesicle","CC"
"GO:0004594","GO:0004594","pantothenate kinase activity","MF"
"GO:0008774","GO:0008774","acetaldehyde dehydrogenase (acetylating) activity","MF"
"GO:0031104","GO:0031104","dendrite regeneration","BP"
"GO:0010793","GO:0010793","regulation of mRNA export from nucleus","BP"
"GO:0071166","GO:0071166","ribonucleoprotein complex localization","BP"
"GO:2000197","GO:2000197","regulation of ribonucleoprotein complex localization","BP"
"GO:0046827","GO:0046827","positive regulation of protein export from nucleus","BP"
"GO:0004735","GO:0004735","pyrroline-5-carboxylate reductase activity","MF"
"GO:0006561","GO:0006561","proline biosynthetic process","BP"
"GO:0055129","GO:0055129","L-proline biosynthetic process","BP"
"GO:0018103","GO:0018103","protein C-linked glycosylation","BP"
"GO:0018211","GO:0018211","peptidyl-tryptophan modification","BP"
"GO:0018317","GO:0018317","protein C-linked glycosylation via tryptophan","BP"
"GO:0018406","GO:0018406","protein C-linked glycosylation via 2'-alpha-mannosyl-L-tryptophan","BP"
"GO:0005025","GO:0005025","transforming growth factor beta receptor activity, type I","MF"
"GO:1901798","GO:1901798","positive regulation of signal transduction by p53 class mediator","BP"
"GO:1990116","GO:1990116","ribosome-associated ubiquitin-dependent protein catabolic process","BP"
"GO:0006771","GO:0006771","riboflavin metabolic process","BP"
"GO:0008531","GO:0008531","riboflavin kinase activity","MF"
"GO:0009231","GO:0009231","riboflavin biosynthetic process","BP"
"GO:0009398","GO:0009398","FMN biosynthetic process","BP"
"GO:0046444","GO:0046444","FMN metabolic process","BP"
"GO:0052647","GO:0052647","pentitol phosphate metabolic process","BP"
"GO:0052648","GO:0052648","ribitol phosphate metabolic process","BP"
"GO:0031529","GO:0031529","ruffle organization","BP"
"GO:0097178","GO:0097178","ruffle assembly","BP"
"GO:1900027","GO:1900027","regulation of ruffle assembly","BP"
"GO:1900029","GO:1900029","positive regulation of ruffle assembly","BP"
"GO:0060024","GO:0060024","rhythmic synaptic transmission","BP"
"GO:0006212","GO:0006212","uracil catabolic process","BP"
"GO:0019860","GO:0019860","uracil metabolic process","BP"
"GO:0007375","GO:0007375","anterior midgut invagination","BP"
"GO:0004703","GO:0004703","G protein-coupled receptor kinase activity","MF"
"GO:0008775","GO:0008775","acetate CoA-transferase activity","MF"
"GO:0046654","GO:0046654","tetrahydrofolate biosynthetic process","BP"
"GO:0060091","GO:0060091","kinocilium","CC"
"GO:0097732","GO:0097732","9+2 non-motile cilium","CC"
"GO:1902636","GO:1902636","kinociliary basal body","CC"
"GO:0060291","GO:0060291","long-term synaptic potentiation","BP"
"GO:0007451","GO:0007451","dorsal/ventral lineage restriction, imaginal disc","BP"
"GO:0047220","GO:0047220","galactosylxylosylprotein 3-beta-galactosyltransferase activity","MF"
"GO:1905271","GO:1905271","regulation of proton-transporting ATP synthase activity, rotational mechanism","BP"
"GO:1905273","GO:1905273","positive regulation of proton-transporting ATP synthase activity, rotational mechanism","BP"
"GO:0030692","GO:0030692","Noc4p-Nop14p complex","CC"
"GO:0036467","GO:0036467","5-hydroxy-L-tryptophan decarboxylase activity","MF"
"GO:0036468","GO:0036468","L-dopa decarboxylase activity","MF"
"GO:0006585","GO:0006585","dopamine biosynthetic process from tyrosine","BP"
"GO:0004148","GO:0004148","dihydrolipoyl dehydrogenase activity","MF"
"GO:0016019","GO:0016019","peptidoglycan immune receptor activity","MF"
"GO:0017168","GO:0017168","5-oxoprolinase (ATP-hydrolyzing) activity","MF"
"GO:0001875","GO:0001875","lipopolysaccharide immune receptor activity","MF"
"GO:0010715","GO:0010715","regulation of extracellular matrix disassembly","BP"
"GO:0010716","GO:0010716","negative regulation of extracellular matrix disassembly","BP"
"GO:0070176","GO:0070176","DRM complex","CC"
"GO:0048681","GO:0048681","negative regulation of axon regeneration","BP"
"GO:0070571","GO:0070571","negative regulation of neuron projection regeneration","BP"
"GO:0097109","GO:0097109","neuroligin family protein binding","MF"
"GO:0008117","GO:0008117","sphinganine-1-phosphate aldolase activity","MF"
"GO:0018197","GO:0018197","peptidyl-aspartic acid modification","BP"
"GO:0097749","GO:0097749","membrane tubulation","BP"
"GO:0002116","GO:0002116","semaphorin receptor complex","CC"
"GO:0017154","GO:0017154","semaphorin receptor activity","MF"
"GO:1902285","GO:1902285","semaphorin-plexin signaling pathway involved in neuron projection guidance","BP"
"GO:1902287","GO:1902287","semaphorin-plexin signaling pathway involved in axon guidance","BP"
"GO:0003351","GO:0003351","epithelial cilium movement involved in extracellular fluid movement","BP"
"GO:0060287","GO:0060287","epithelial cilium movement involved in determination of left/right asymmetry","BP"
